								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  30:48h vs. 50:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  30:48h vs. 50:72h	-2/398	-118/0 to 113/2	No	ns	>0/9999			
  30:48h vs. 60:24h	8/859	-106/7 to 124/5	No	ns	>0/9999			
  30:48h vs. 60:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  30:48h vs. 60:72h	2/014	-113/6 to 117/6	No	ns	>0/9999			
  30:48h vs. 70:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  30:48h vs. 70:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  30:48h vs. 70:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  30:48h vs. 80:24h	14/03	-101/6 to 129/6	No	ns	>0/9999			
  30:48h vs. 80:48h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  30:48h vs. 80:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  30:48h vs. 90:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  30:48h vs. 90:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  30:48h vs. 90:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  30:48h vs. 100:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  30:48h vs. 100:48h	10/77	-104/8 to 126/4	No	ns	>0/9999			
  30:48h vs. 100:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  30:72h vs. 40:24h	9/026	-106/6 to 124/6	No	ns	>0/9999			
  30:72h vs. 40:48h	8/416	-107/2 to 124/0	No	ns	>0/9999			
  30:72h vs. 40:72h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  30:72h vs. 50:24h	12/47	-103/1 to 128/1	No	ns	>0/9999			
  30:72h vs. 50:48h	9/955	-105/6 to 125/5	No	ns	>0/9999			
  30:72h vs. 50:72h	2/941	-112/7 to 118/5	No	ns	>0/9999			
  30:72h vs. 60:24h	14/20	-101/4 to 129/8	No	ns	>0/9999			
  30:72h vs. 60:48h	9/955	-105/6 to 125/5	No	ns	>0/9999			
  30:72h vs. 60:72h	7/353	-108/2 to 122/9	No	ns	>0/9999			
  30:72h vs. 70:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  30:72h vs. 70:48h	13/03	-102/6 to 128/6	No	ns	>0/9999			
  30:72h vs. 70:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
